,PLAYER,POS_CFB,YEAR_RECRUITED,RNK_RECRUITED,STAR,247_SCORE,COLLEGE_CFB,HOME_CITY,HOME_STATE,LAT,LNG,YEAR_DRAFTED,DRAFT_RND,DRAFT_PICK,NFL_TEAM,POS_NFL,COLLEGE_NFL
850,Jack Crawford,SDE,2008,465,3,0.8733,Penn State,Richland,NJ,39.4917828,-74.8707243,2012,5,158,OAK,DE,Penn State
851,Jonathan Bullard,SDE,2012,12,5,0.9924,Florida,Shelby,NC,35.2923513,-81.5356463,2016,3,72,CHI,DT,Florida
852,Alfonzo Dennard,CB,2008,486,3,0.8733,Nebraska,Rochelle,GA,31.9510105,-83.4562744,2012,7,224,NWE,DB,Nebraska
853,Ifo Ekpre-Olomu,CB,2011,178,4,0.9188,Oregon,Chino Hills,CA,33.9926803,-117.760056,2015,7,241,CLE,CB,Oregon
854,Tony Steward,OLB,2011,16,5,0.9917,Clemson,Saint Augustine,FL,29.8946952,-81.3145395,2015,6,188,BUF,OLB,Clemson
855,David Bakhtiari,OT,2009,1750,2,0.7889,Colorado,San Mateo,CA,37.496904,-122.3330573,2013,4,109,GNB,T,Colorado
856,Steve Beauharnais,OLB,2009,1055,3,0.8448,Rutgers,Montvale,NJ,41.0467635,-74.0229173,2013,7,235,NWE,LB,Rutgers
857,Riley Reiff,OT,2008,579,3,0.8639,Iowa,Parkston,SD,43.395007,-97.984421,2012,1,23,DET,T,Iowa
858,Sam Montgomery,WDE,2009,50,4,0.9745,LSU,Greenwood,SC,34.1954001,-82.1617883,2013,3,95,HOU,DE,LSU
859,D.J. Swearinger,S,2009,398,3,0.8826,South Carolina,Greenwood,SC,34.1954001,-82.1617883,2013,2,57,HOU,DB,South Carolina
860,T.J. Johnson,OC,2008,635,3,0.859,South Carolina,Aynor,SC,33.9998881,-79.1994874,2013,7,251,CIN,C,South Carolina
861,Fletcher Cox,DT,2009,157,4,0.9254,Mississippi State,Yazoo City,MS,32.8551326,-90.4056469,2012,1,12,PHI,DT,Mississippi State
862,John Boyett,S,2008,647,3,0.8569,Oregon,Napa,CA,38.2971367,-122.2855293,2013,6,192,IND,DB,Oregon
863,Zac Dysert,PRO,2008,674,3,0.8556,Miami (OH),Ada,OH,38.8398935,-83.5051704,2013,7,234,DEN,QB,Miami (OH)
864,Keshawn Martin,WR,2008,678,3,0.8556,Michigan State,Westland,MI,42.3238056,-83.4005321,2012,4,121,HOU,WR,Michigan State
865,Jeremy Langford,ATH,2010,1247,3,0.8434,Michigan State,Westland,MI,42.3238056,-83.4005321,2015,4,106,CHI,RB,Michigan State
866,Alshon Jeffery,WR,2009,110,4,0.9487,South Carolina,Saint Matthews,SC,33.664876,-80.7778681,2012,2,45,CHI,WR,South Carolina
867,Jake Fisher,OT,2011,335,3,0.8793,Oregon,Traverse City,MI,44.7606441,-85.6165301,2015,2,53,CIN,T,Oregon
868,Andre Hal,CB,2010,884,3,0.8559,Vanderbilt,Port Allen,LA,21.903552,-159.588089,2014,7,216,HOU,DB,Vanderbilt
869,Darius Slay,WR,2009,1446,3,0.8146,Mississippi State,Brunswick,GA,31.1499528,-81.4914894,2013,2,36,DET,DB,Mississippi State
870,Rakeem Nunez-Roches,DT,2011,1276,3,0.8155,Southern Miss,Phenix City,AL,32.4709761,-85.0007653,2015,6,217,KAN,DT,Southern Miss
871,Brad Nortman,K,2008,788,3,0.8479,Wisconsin,Brookfield,WI,43.0605671,-88.1064787,2012,6,207,CAR,P,Wisconsin
872,Gavin Escobar,TE,2009,1922,2,0.7667,San Diego State,Rancho Santa Margarita,CA,33.6408845,-117.6029341,2013,2,47,DAL,TE,San Diego State
873,Max Tuerk,OT,2012,61,4,0.9703,USC,Rancho Santa Margarita,CA,33.6408845,-117.6029341,2016,3,66,SDG,C,USC
874,Randall Cobb,ATH,2008,852,3,0.8417,Kentucky,Alcoa,TN,35.7895271,-83.9737935,2011,2,64,GNB,WR,Kentucky
